Sample	Dataset	sex	superpop
HG00097	HPRC	XX	EUR
HG00099	HPRC	XX	EUR
HG00102	1KGP-LRSC	XX	EUR
HG00109	1KGP-LRSC	XY	EUR
HG00112	1KGP-LRSC	XY	EUR
HG00113	1KGP-LRSC	XY	EUR
HG00115	1KGP-LRSC	XY	EUR
HG00116	1KGP-LRSC	XY	EUR
HG00119	1KGP-LRSC	XY	EUR
HG00126	HPRC	XY	EUR
HG00128	HPRC	XX	EUR
HG00133	HPRC	XX	EUR
HG00140	HPRC	XY	EUR
HG00142	1KGP-LRSC	XY	EUR
HG00143	1KGP-LRSC	XY	EUR
HG00145	1KGP-LRSC	XY	EUR
HG00146	HPRC	XX	EUR
HG00154	1KGP-LRSC	XX	EUR
HG00155	1KGP-LRSC	XY	EUR
HG00160	1KGP-LRSC	XY	EUR
HG00171	1KGP-LRSC	XX	EUR
HG00231	1KGP-LRSC	XX	EUR
HG00232	HPRC	XX	EUR
HG00234	1KGP-LRSC	XY	EUR
HG00235	HPRC	XX	EUR
HG00236	1KGP-LRSC	XX	EUR
HG00237	1KGP-LRSC	XX	EUR
HG00246	1KGP-LRSC	XY	EUR
HG00250	1KGP-LRSC	XX	EUR
HG00253	HPRC	XX	EUR
HG00256	1KGP-LRSC	XY	EUR
HG00259	1KGP-LRSC	XX	EUR
HG00262	1KGP-LRSC	XX	EUR
HG00263	1KGP-LRSC	XX	EUR
HG00264	1KGP-LRSC	XY	EUR
HG00272	HPRC	XX	EUR
HG00277	1KGP-LRSC	XY	EUR
HG00280	HPRC	XY	EUR
HG00285	1KGP-LRSC	XX	EUR
HG00290	HPRC	XY	EUR
HG00304	1KGP-LRSC	XX	EUR
HG00318	1KGP-LRSC	XX	EUR
HG00320	HPRC	XX	EUR
HG00321	HPRC	XY	EUR
HG00323	HPRC	XX	EUR
HG00326	1KGP-LRSC	XX	EUR
HG00329	HPRC	XY	EUR
HG00344	HPRC	XX	EUR
HG00350	HPRC	XX	EUR
HG00372	1KGP-LRSC	XY	EUR
HG00382	1KGP-LRSC	XY	EUR
HG00408	HPRC	XX	EAS
HG00423	HPRC	XX	EAS
HG00438	HPRC	XX	EAS
HG00463	1KGP-LRSC	XY	EAS
HG00513	1KGP-LRSC	XX	EAS
HG00533	1KGP-LRSC	XY	EAS
HG00544	HPRC	XX	EAS
HG00553	1KGP-LRSC	XY	AMR
HG00556	1KGP-LRSC	XY	EAS
HG00558	HPRC	XX	EAS
HG00581	1KGP-LRSC	XX	EAS
HG00590	1KGP-LRSC	XX	EAS
HG00597	HPRC	XX	EAS
HG00598	1KGP-LRSC	XY	EAS
HG00609	HPRC	XY	EAS
HG00621	HPRC	XY	EAS
HG00625	1KGP-LRSC	XY	EAS
HG00639	HPRC	XX	AMR
HG00642	HPRC	XY	AMR
HG00653	1KGP-LRSC	XY	EAS
HG00658	HPRC	XY	EAS
HG00663	1KGP-LRSC	XX	EAS
HG00673	HPRC	XY	EAS
HG00674	1KGP-LRSC	XY	EAS
HG00693	1KGP-LRSC	XX	EAS
HG00704	1KGP-LRSC	XY	EAS
HG00706	HPRC	XY	EAS
HG00731	1KGP-LRSC	XY	AMR
HG00733	HPRC	XX	AMR
HG00735	HPRC	XX	AMR
HG00738	HPRC	XY	AMR
HG00741	HPRC	XX	AMR
HG00742	1KGP-LRSC	XY	AMR
HG01052	1KGP-LRSC	XX	AMR
HG01061	1KGP-LRSC	XX	AMR
HG01063	1KGP-LRSC	XY	AMR
HG01071	HPRC	XX	AMR
HG01074	HPRC	XY	AMR
HG01081	HPRC	XX	AMR
HG01088	1KGP-LRSC	XY	AMR
HG01099	HPRC	XY	AMR
HG01106	HPRC	XY	AMR
HG01109	HPRC	XY	AMR
HG01113	1KGP-LRSC	XX	AMR
HG01123	HPRC	XX	AMR
HG01125	1KGP-LRSC	XX	AMR
HG01150	HPRC	XX	AMR
HG01167	HPRC	XY	AMR
HG01170	1KGP-LRSC	XY	AMR
HG01173	1KGP-LRSC	XY	AMR
HG01175	HPRC	XX	AMR
HG01190	1KGP-LRSC	XY	AMR
HG01192	HPRC	XY	AMR
HG01200	1KGP-LRSC	XY	AMR
HG01204	1KGP-LRSC	XY	AMR
HG01243	HPRC	XY	AMR
HG01250	1KGP-LRSC	XY	AMR
HG01251	1KGP-LRSC	XX	AMR
HG01252	HPRC	XY	AMR
HG01255	HPRC	XY	AMR
HG01258	HPRC	XY	AMR
HG01260	1KGP-LRSC	XX	AMR
HG01261	HPRC	XY	AMR
HG01271	1KGP-LRSC	XY	AMR
HG01277	1KGP-LRSC	XY	AMR
HG01303	1KGP-LRSC	XX	AMR
HG01305	1KGP-LRSC	XY	AMR
HG01323	1KGP-LRSC	XX	AMR
HG01326	1KGP-LRSC	XX	AMR
HG01334	1KGP-LRSC	XY	EUR
HG01342	1KGP-LRSC	XX	AMR
HG01346	HPRC	XX	AMR
HG01358	HPRC	XY	AMR
HG01361	HPRC	XX	AMR
HG01402	1KGP-LRSC	XY	AMR
HG01405	1KGP-LRSC	XY	AMR
HG01413	1KGP-LRSC	XY	AMR
HG01433	HPRC	XY	AMR
HG01435	1KGP-LRSC	XX	AMR
HG01461	1KGP-LRSC	XY	AMR
HG01485	1KGP-LRSC	XY	AMR
HG01496	HPRC	XX	AMR
HG01515	1KGP-LRSC	XY	EUR
HG01530	HPRC	XY	EUR
HG01669	1KGP-LRSC	XY	EUR
HG01682	1KGP-LRSC	XY	EUR
HG01686	1KGP-LRSC	XY	EUR
HG01771	1KGP-LRSC	XY	EUR
HG01784	HPRC	XX	EUR
HG01786	HPRC	XX	EUR
HG01795	1KGP-LRSC	XX	EAS
HG01802	1KGP-LRSC	XX	EAS
HG01804	1KGP-LRSC	XX	EAS
HG01808	1KGP-LRSC	XX	EAS
HG01811	1KGP-LRSC	XY	EAS
HG01816	1KGP-LRSC	XY	EAS
HG01841	1KGP-LRSC	XX	EAS
HG01842	1KGP-LRSC	XY	EAS
HG01845	1KGP-LRSC	XX	EAS
HG01850	1KGP-LRSC	XX	EAS
HG01852	1KGP-LRSC	XY	EAS
HG01855	1KGP-LRSC	XX	EAS
HG01857	1KGP-LRSC	XX	EAS
HG01860	1KGP-LRSC	XY	EAS
HG01861	1KGP-LRSC	XY	EAS
HG01867	1KGP-LRSC	XY	EAS
HG01869	1KGP-LRSC	XX	EAS
HG01884	HPRC	XX	AFR
HG01891	HPRC	XX	AFR
HG01893	1KGP-LRSC	XX	AMR
HG01920	1KGP-LRSC	XY	AMR
HG01928	HPRC	XY	AMR
HG01934	HPRC	XY	AMR
HG01940	HPRC	XX	AMR
HG01943	HPRC	XY	AMR
HG01952	HPRC	XY	AMR
HG01960	HPRC	XX	AFR
HG01969	HPRC	XX	AMR
HG01970	1KGP-LRSC	XY	AMR
HG01973	1KGP-LRSC	XX	AMR
HG01975	HPRC	XX	AMR
HG01978	HPRC	XX	AMR
HG01981	HPRC	XX	AMR
HG01993	HPRC	XX	AMR
HG02004	HPRC	XX	AMR
HG02015	HPRC	XY	EAS
HG02024	1KGP-LRSC	XX	EAS
HG02025	1KGP-LRSC	XX	EAS
HG02026	1KGP-LRSC	XY	EAS
HG02027	HPRC	XY	EAS
HG02035	1KGP-LRSC	XY	EAS
HG02040	HPRC	XY	EAS
HG02055	HPRC	XY	AFR
HG02056	HPRC	XY	EAS
HG02071	HPRC	XY	EAS
HG02074	HPRC	XY	EAS
HG02080	HPRC	XX	EAS
HG02083	HPRC	XY	EAS
HG02086	1KGP-LRSC	XX	EAS
HG02088	1KGP-LRSC	XY	EAS
HG02109	HPRC	XX	AFR
HG02129	HPRC	XY	EAS
HG02132	HPRC	XY	EAS
HG02134	1KGP-LRSC	XY	EAS
HG02135	HPRC	XY	EAS
HG02140	1KGP-LRSC	XX	EAS
HG02141	1KGP-LRSC	XY	EAS
HG02145	HPRC	XY	AFR
HG02148	HPRC	XX	AMR
HG02155	HPRC	XX	EAS
HG02165	HPRC	XX	EAS
HG02178	HPRC	XX	EAS
HG02179	1KGP-LRSC	XX	EAS
HG02181	1KGP-LRSC	XX	EAS
